,Players,Salaries
0,LeBron James,"$30,963,450"
1,Mike Conley,"$26,540,100"
2,DeMar DeRozan,"$26,540,100"
3,Al Horford,"$26,540,100"
4,Kevin Durant,"$26,540,100"
5,Russell Westbrook,"$26,540,100"
6,James Harden,"$26,540,100"
7,Dirk Nowitzki,"$25,000,000"
8,Carmelo Anthony,"$24,559,380"
9,Damian Lillard,"$24,328,425"
10,Chris Bosh,"$23,741,060"
11,Dwyane Wade,"$23,200,000"
12,Dwight Howard,"$23,180,275"
13,Chris Paul,"$22,868,827"
14,Bradley Beal,"$22,116,750"
15,Harrison Barnes,"$22,116,750"
16,Hassan Whiteside,"$22,116,750"
17,Anthony Davis,"$22,116,750"
18,Andre Drummond,"$22,116,750"
19,Chandler Parsons,"$22,116,750"
20,Derrick Rose,"$21,323,252"
21,Marc Gasol,"$21,165,675"
22,DeAndre Jordan,"$21,165,675"
23,Brook Lopez,"$21,165,675"
24,Kevin Love,"$21,165,675"
25,Nicolas Batum,"$20,869,566"
26,LaMarcus Aldridge,"$20,575,005"
27,Blake Griffin,"$20,140,839"
28,Paul Millsap,"$20,072,033"
29,Ryan Anderson,"$18,735,364"
30,Allen Crabbe,"$18,500,000"
31,Paul George,"$18,314,532"
32,Luol Deng,"$18,000,000"
33,Kyrie Irving,"$17,638,063"
34,Kawhi Leonard,"$17,638,063"
35,Jimmy Butler,"$17,552,209"
36,Tobias Harris,"$17,200,000"
37,Greg Monroe,"$17,145,838"
38,Wesley Matthews,"$17,145,838"
39,Enes Kanter,"$17,145,838"
40,Bismack Biyombo,"$17,000,000"
41,Joakim Noah,"$17,000,000"
42,Evan Fournier,"$17,000,000"
43,John Wall,"$16,957,900"
44,DeMarcus Cousins,"$16,957,900"
45,Klay Thompson,"$16,663,575"
46,Evan Turner,"$16,393,443"
47,Gordon Hayward,"$16,073,140"
48,Timofey Mozgov,"$16,000,000"
49,Ian Mahinmi,"$15,944,154"
50,Goran Dragic,"$15,891,725"
51,Kent Bazemore,"$15,730,338"
52,Pau Gasol,"$15,500,000"
53,Draymond Green,"$15,330,435"
54,Tristan Thompson,"$15,330,435"
55,Khris Middleton,"$15,200,000"
56,Danilo Gallinari,"$15,050,000"
57,Jeff Green,"$15,000,000"
58,Reggie Jackson,"$14,956,522"
59,Tony Parker,"$14,445,313"
60,Jonas Valanciunas,"$14,382,023"
61,DeMarre Carroll,"$14,200,000"
62,Thaddeus Young,"$14,153,652"
63,Manu Ginobili,"$14,000,000"
64,Eric Bledsoe,"$14,000,000"
65,Rajon Rondo,"$14,000,000"
66,Ricky Rubio,"$13,550,000"
67,Rudy Gay,"$13,333,333"
68,Jamal Crawford,"$13,253,012"
69,Robin Lopez,"$13,219,250"
70,Michael Kidd-Gilchrist,"$13,000,000"
71,JR Smith,"$12,800,000"
72,Brandon Knight,"$12,606,250"
73,John Henson,"$12,517,606"
74,Miles Plumlee,"$12,500,000"
75,Arron Afflalo,"$12,500,000"
76,Jordan Clarkson,"$12,500,000"
77,Tyson Chandler,"$12,415,000"
78,Eric Gordon,"$12,385,364"
79,Marvin Williams,"$12,250,000"
80,Serge Ibaka,"$12,250,000"
81,Stephen Curry,"$12,112,359"
82,Nikola Pekovic,"$12,100,000"
83,Kenneth Faried,"$12,078,652"
84,Kyle Lowry,"$12,000,000"
85,Amir Johnson,"$12,000,000"
86,Marcin Gortat,"$12,000,000"
87,Kemba Walker,"$12,000,000"
88,Nikola Vucevic,"$11,750,000"
89,Jeremy Lin,"$11,483,254"
90,Jrue Holiday,"$11,286,518"
91,Courtney Lee,"$11,242,000"
92,Solomon Hill,"$11,241,218"
93,Wilson Chandler,"$11,233,146"
94,Andre Iguodala,"$11,131,368"
95,Derrick Favors,"$11,050,000"
96,Austin Rivers,"$11,000,000"
97,Joe Johnson,"$11,000,000"
98,Jon Leuer,"$10,991,957"
99,Monta Ellis,"$10,763,500"
100,Mirza Teletovic,"$10,500,000"
101,Jared Dudley,"$10,470,000"
102,Zach Randolph,"$10,361,445"
103,Al Jefferson,"$10,314,532"
104,Tyreke Evans,"$10,203,755"
105,Alec Burks,"$10,154,495"
106,Terrence Ross,"$10,000,000"
107,Danny Green,"$10,000,000"
108,Omer Asik,"$9,904,494"
109,Iman Shumpert,"$9,662,922"
110,Matthew Dellavedova,"$9,607,500"
111,Jerryd Bayless,"$9,424,084"
112,Trevor Booker,"$9,250,000"
113,Meyers Leonard,"$9,213,483"
114,Gerald Henderson,"$9,000,000"
115,Maurice Harkless,"$8,988,765"
116,Taj Gibson,"$8,950,000"
117,Jeff Teague,"$8,800,000"
118,Tiago Splitter,"$8,550,000"
119,Ersan Ilyasova,"$8,400,000"
120,Dwight Powell,"$8,375,000"
121,Avery Bradley,"$8,269,663"
122,E'Twaun Moore,"$8,081,363"
123,Darrell Arthur,"$8,070,175"
124,Kosta Koufos,"$8,046,500"
125,Anthony Tolliver,"$8,000,000"
126,Sergio Rodriguez,"$8,000,000"
127,Garrett Temple,"$8,000,000"
128,Kevin Garnett,"$8,000,000"
129,George Hill,"$8,000,000"
130,Yi Jianlian,"$8,000,000"
131,Tyler Zeller,"$8,000,000"
132,Trevor Ariza,"$7,806,971"
133,Channing Frye,"$7,806,971"
134,Al-Farouq Aminu,"$7,680,965"
135,Cole Aldrich,"$7,643,979"
136,Corey Brewer,"$7,612,172"
137,Festus Ezeli,"$7,400,000"
138,Markieff Morris,"$7,400,000"
139,JJ Redick,"$7,377,500"
140,Cory Joseph,"$7,315,000"
141,D.J. Augustin,"$7,250,000"
142,Boris Diaw,"$7,000,000"
143,Lou Williams,"$7,000,000"
144,Rodney Stuckey,"$7,000,000"
145,Boban Marjanovic,"$7,000,000"
146,Ed Davis,"$6,666,667"
147,Isaiah Thomas,"$6,587,132"
148,Victor Oladipo,"$6,552,961"
149,Jodie Meeks,"$6,540,000"
150,Jeremy Lamb,"$6,511,628"
151,Aron Baynes,"$6,500,000"
152,Carl Landry,"$6,500,000"
153,Tim Duncan,"$6,393,750"
154,Spencer Hawes,"$6,348,759"
155,Marco Belinelli,"$6,333,333"
156,Jae Crowder,"$6,286,408"
157,Lance Thomas,"$6,191,000"
158,Tarik Black,"$6,191,000"
159,Andrew Nicholson,"$6,088,993"
160,Patrick Patterson,"$6,050,000"
161,Andrew Wiggins,"$6,006,600"
162,Ramon Sessions,"$6,000,000"
163,Ish Smith,"$6,000,000"
164,Wayne Ellington,"$6,000,000"
165,Patrick Beverley,"$6,000,000"
166,Alex Abrines,"$5,994,764"
167,Karl-Anthony Towns,"$5,960,160"
168,Ben Simmons,"$5,903,160"
169,Otto Porter Jr.,"$5,893,981"
170,Nikola Mirotic,"$5,782,450"
171,Shaun Livingston,"$5,782,450"
172,Josh McRoberts,"$5,782,450"
173,Brandan Wright,"$5,709,880"
174,Wesley Johnson,"$5,628,000"
175,Tyler Johnson,"$5,628,000"
176,Jared Sullinger,"$5,628,000"
177,Tony Allen,"$5,505,618"
178,Luis Scola,"$5,500,000"
179,Nick Young,"$5,443,918"
180,Jabari Parker,"$5,374,320"
181,D'Angelo Russell,"$5,332,800"
182,Cody Zeller,"$5,318,313"
183,P.J. Tucker,"$5,300,000"
184,Brandon Ingram,"$5,281,680"
185,Kyle Korver,"$5,239,437"
186,Darren Collison,"$5,229,454"
187,Langston Galloway,"$5,200,000"
188,C.J. Watson,"$5,000,000"
189,Brandon Jennings,"$5,000,000"
190,Jonas Jerebko,"$5,000,000"
191,Roy Hibbert,"$5,000,000"
192,Jason Smith,"$5,000,000"
193,Kyle Singler,"$4,837,500"
194,Mike Dunleavy,"$4,837,500"
195,Joel Embiid,"$4,826,160"
196,Alex Len,"$4,823,621"
197,Jahlil Okafor,"$4,788,840"
198,Jaylen Brown,"$4,743,000"
199,Alexis Ajinca,"$4,638,203"
200,Marcus Morris,"$4,625,000"
201,CJ Miles,"$4,583,450"
202,Jameer Nelson,"$4,540,525"
203,Nerlens Noel,"$4,384,490"
204,Aaron Gordon,"$4,351,320"
205,Greivis Vasquez,"$4,347,826"
206,Kristaps Porzingis,"$4,317,720"
207,Dragan Bender,"$4,276,320"
208,Vince Carter,"$4,264,057"
209,Devin Harris,"$4,227,996"
210,J.J. Barea,"$4,096,950"
211,Ben McLemore,"$4,008,882"
212,Lavoy Allen,"$4,000,000"
213,Leandro Barbosa,"$4,000,000"
214,Kris Humphries,"$4,000,000"
215,Jordan Hill,"$4,000,000"
216,James Johnson,"$4,000,000"
217,Udonis Haslem,"$4,000,000"
218,Lance Stephenson,"$4,000,000"
219,Dante Exum,"$3,940,320"
220,Kyle O'Quinn,"$3,918,750"
221,Mario Hezonja,"$3,909,840"
222,Kris Dunn,"$3,872,520"
223,Thabo Sefolosha,"$3,850,000"
224,Nemanja Bjelica,"$3,800,000"
225,Nick Collison,"$3,750,000"
226,Bojan Bogdanovic,"$3,730,653"
227,Kentavious Caldwell-Pope,"$3,678,319"
228,Quincy Pondexter,"$3,617,978"
229,Patty Mills,"$3,578,948"
230,Marcus Smart,"$3,578,880"
231,Willie Cauley-Stein,"$3,551,160"
232,Drew Gooden,"$3,547,000"
233,Will Barton,"$3,533,333"
234,Paul Pierce,"$3,527,920"
235,Buddy Hield,"$3,517,200"
236,Brandon Rush,"$3,500,000"
237,Mike Miller,"$3,500,000"
238,Anthony Morrow,"$3,488,000"
239,Trey Burke,"$3,386,598"
240,Mike Scott,"$3,333,334"
241,KJ McDaniels,"$3,333,333"
242,Troy Daniels,"$3,332,940"
243,Julius Randle,"$3,267,120"
244,Emmanuel Mudiay,"$3,241,800"
245,CJ McCollum,"$3,219,579"
246,Jamal Murray,"$3,210,840"
247,Michael Carter-Williams,"$3,183,526"
248,Steven Adams,"$3,140,517"
249,Kelly Olynyk,"$3,094,014"
250,Shabazz Muhammad,"$3,046,299"
251,Justin Hamilton,"$3,000,000"
252,Tibor Pleiss,"$3,000,000"
253,Giannis Antetokounmpo,"$2,995,421"
254,Nik Stauskas,"$2,993,040"
255,Dante Cunningham,"$2,978,250"
256,Stanley Johnson,"$2,969,880"
257,Marquese Chriss,"$2,941,440"
258,Dewayne Dedmon,"$2,898,000"
259,James Ennis III,"$2,898,000"
260,Mindaugas Kuzminskas,"$2,898,000"
261,Dion Waiters,"$2,898,000"
262,Nene Hilario,"$2,898,000"
263,Zaza Pachulia,"$2,898,000"
