,Players,Salaries
264,Seth Curry,"$2,898,000"
265,Tomas Satoransky,"$2,870,813"
266,Noah Vonleh,"$2,751,360"
267,Frank Kaminsky,"$2,730,000"
268,Dennis Schroder,"$2,708,582"
269,Jakob Poeltl,"$2,703,960"
270,Aaron Brooks,"$2,700,000"
271,Elfrid Payton,"$2,613,600"
272,Justise Winslow,"$2,593,440"
273,Thon Maker,"$2,568,600"
274,Randy Foye,"$2,500,000"
275,Richard Jefferson,"$2,500,000"
276,Malcolm Delaney,"$2,500,000"
277,Doug McDermott,"$2,483,040"
278,Myles Turner,"$2,463,840"
279,Domantas Sabonis,"$2,440,200"
280,Shelvin Mack,"$2,433,334"
281,Tony Snell,"$2,368,327"
282,Gorgui Dieng,"$2,348,783"
283,Trey Lyles,"$2,340,600"
284,Mason Plumlee,"$2,328,530"
285,Dario Saric,"$2,318,280"
286,Taurean Prince,"$2,318,280"
287,Tim Hardaway Jr.,"$2,281,605"
288,Reggie Bullock,"$2,255,644"
289,Zach LaVine,"$2,240,880"
290,Devin Booker,"$2,223,600"
291,Luc Mbah a Moute,"$2,203,000"
292,Georgios Papagiannis,"$2,202,240"
293,Mo Williams,"$2,194,500"
294,Andre Roberson,"$2,183,072"
295,Joe Ingles,"$2,150,000"
296,T.J. Warren,"$2,128,920"
297,Rudy Gobert,"$2,121,288"
298,Cameron Payne,"$2,112,480"
299,Denzel Valentine,"$2,092,200"
300,Tim Frazier,"$2,090,000"
301,Kendall Marshall,"$2,048,257"
302,Adreian Payne,"$2,022,240"
303,Kelly Oubre Jr.,"$2,006,640"
304,Juan Hernangomez,"$1,987,440"
305,Lucas Nogueira,"$1,921,320"
306,Jusuf Nurkic,"$1,921,320"
307,Terry Rozier,"$1,906,440"
308,James Young,"$1,825,200"
309,Rashad Vaughn,"$1,811,040"
310,Kevin Seraphin,"$1,800,000"
311,Wade Baldwin IV,"$1,793,760"
312,Quincy Acy,"$1,790,092"
313,Tyler Ennis,"$1,733,880"
314,Sam Dekker,"$1,720,560"
315,Joffrey Lauvergne,"$1,709,719"
316,Henry Ellenson,"$1,704,120"
317,Gary Harris,"$1,655,880"
318,Jerian Grant,"$1,643,040"
319,Malik Beasley,"$1,627,320"
320,Bruno Caboclo,"$1,589,640"
321,Delon Wright,"$1,577,280"
322,Caris LeVert,"$1,562,280"
323,David Lee,"$1,551,659"
324,Caron Butler,"$1,551,659"
325,Mitch McGary,"$1,526,040"
326,Justin Anderson,"$1,514,160"
327,Marcelo Huertas,"$1,500,000"
328,DeAndre' Bembry,"$1,499,760"
329,Jordan Adams,"$1,465,080"
330,Bobby Portis,"$1,453,680"
331,Demetrius Jackson,"$1,450,000"
332,Malachi Richardson,"$1,439,800"
333,Rodney Hood,"$1,406,520"
334,Marreese Speights,"$1,403,611"
335,JaVale McGee,"$1,403,611"
336,Michael Beasley,"$1,403,611"
337,Rondae Hollis-Jefferson,"$1,395,600"
338,Deyonta Davis,"$1,369,299"
339,Nikola Jokic,"$1,358,500"
340,Shabazz Napier,"$1,350,120"
341,Willy Hernangomez,"$1,350,000"
342,Guillermo Hernangomez,"$1,350,000"
343,Tyus Jones,"$1,339,680"
344,Sasha Kaun,"$1,333,240"
345,Timothe Luwawu-Cabarrot,"$1,326,960"
346,Clint Capela,"$1,296,240"
347,Jarell Martin,"$1,286,160"
348,Brice Johnson,"$1,273,920"
349,Luke Babbitt,"$1,227,286"
350,Jeremy Evans,"$1,227,286"
351,Jordan Mickey,"$1,223,653"
352,CJ Wilcox,"$1,209,600"
353,Larry Nance Jr.,"$1,207,680"
354,Pascal Siakam,"$1,196,040"
355,Kyle Anderson,"$1,192,080"
356,Josh Huestis,"$1,191,480"
357,Chris McCullough,"$1,191,480"
358,Livio Jean-Charles,"$1,188,840"
359,Skal Labissiere,"$1,188,840"
360,Kevon Looney,"$1,182,840"
361,Dejounte Murray,"$1,180,080"
362,Damian Jones,"$1,171,560"
363,Isaiah Whitehead,"$1,074,145"
364,Joe Young,"$1,052,342"
365,Rakeem Christmas,"$1,052,342"
366,Tony Wroten,"$1,050,961"
367,John Jenkins,"$1,050,961"
368,Chris Johnson,"$1,050,961"
369,Glenn Robinson III,"$1,050,500"
370,Montrezl Harrell,"$1,045,000"
371,Ivica Zubac,"$1,034,956"
372,Richaun Holmes,"$1,025,831"
373,Justin Holiday,"$1,015,696"
374,Lorenzo Brown,"$1,015,696"
375,Mike Muscala,"$1,015,696"
376,Anthony Bennett,"$1,015,696"
377,Robert Covington,"$1,015,696"
378,Isaiah Canaan,"$1,015,696"
379,DeAndre Liggins,"$1,015,696"
380,Andrew Goudelock,"$1,015,696"
381,Jeff Withey,"$1,015,696"
382,Willie Reed,"$1,015,696"
383,Edy Tavares,"$1,000,000"
384,Brian Roberts,"$980,431"
385,Jarnell Stokes,"$980,431"
386,Eric Moreland,"$980,431"
387,Ty Lawson,"$980,431"
388,Henry Sims,"$980,431"
389,Nate Wolters,"$980,431"
390,Chris Wright,"$980,431"
391,Raymond Felton,"$980,431"
392,Jordan Farmar,"$980,431"
393,Greg Stiemsma,"$980,431"
394,Cory Jefferson,"$980,431"
395,James Michael McAdoo,"$980,431"
396,Elton Brand,"$980,431"
397,Devyn Marble,"$980,431"
398,Damjan Rudez,"$980,431"
399,Arinze Onuaku,"$980,431"
400,Sasha Vujacic,"$980,431"
401,Lou Amundson,"$980,431"
402,Joe Harris,"$980,431"
403,Marcus Thornton,"$980,431"
404,Jorge Gutierrez,"$980,431"
405,Toure' Murry,"$980,431"
406,John Lucas III,"$980,431"
407,Rasual Butler,"$980,431"
408,Steve Novak,"$980,431"
409,Orlando Johnson,"$980,431"
410,Xavier Henry,"$980,431"
411,Jason Terry,"$980,431"
412,Metta World Peace,"$980,431"
413,Brandon Bass,"$980,431"
414,Dorell Wright,"$980,431"
415,Alan Anderson,"$980,431"
416,JaMychal Green,"$980,431"
417,JaKarr Sampson,"$980,431"
418,Shayne Whittington,"$980,431"
419,Terrence Jones,"$980,431"
420,Pablo Prigioni,"$980,431"
421,Gerald Green,"$980,431"
422,Markel Brown,"$980,431"
423,Anderson Varejao,"$980,431"
424,Elliot Williams,"$980,431"
425,David West,"$980,431"
426,Phil Pressey,"$980,431"
427,Cameron Bairstow,"$980,431"
428,Beno Udrih,"$980,431"
429,Jerami Grant,"$980,431"
430,Robbie Hummel,"$980,431"
431,James Jones,"$980,431"
432,Chris Andersen,"$980,431"
433,Sean Kilpatrick,"$980,431"
434,Ian Clark,"$980,431"
435,Robert Sacre,"$980,431"
436,Thomas Robinson,"$980,431"
437,Will Bynum,"$980,431"
438,Stephen Zimmerman,"$950,000"
439,Andrew Harrison,"$945,000"
440,Raul Neto,"$937,800"
441,Malcolm Brogdon,"$925,000"
442,Tyler Ulis,"$918,369"
443,Reggie Williams,"$895,197"
444,DJ Stephens,"$874,636"
445,D.J. Kennedy,"$874,636"
446,Norman Powell,"$874,636"
447,Jonathon Simmons,"$874,636"
448,Jordan McRae,"$874,636"
449,Casper Ware,"$874,636"
450,Nick Johnson,"$874,636"
451,Darrun Hilliard,"$874,636"
452,Duje Dukan,"$874,636"
453,Grant Jerrett,"$874,636"
454,Josh Richardson,"$874,636"
455,Kevin Murphy,"$874,636"
456,Branden Dawson,"$874,636"
457,Alan Williams,"$874,636"
458,Pat Connaughton,"$874,636"
459,J.J. O'Brien,"$874,636"
460,Xavier Munford,"$874,636"
461,Keith Benson,"$874,636"
462,Travis Wear,"$874,636"
463,T.J. McConnell,"$874,636"
464,Luis Montero,"$874,636"
465,Christian Wood,"$874,636"
466,Salah Mejri,"$874,636"
467,Aaron Harrison,"$874,636"
468,John Holland,"$874,636"
469,Cristiano Felicio,"$874,636"
470,Cliff Alexander,"$874,636"
471,RJ Hunter,"$864,346"
472,Paul Zipser,"$750,000"
473,Spencer Dinwiddie,"$726,672"
474,Bobby Brown,"$680,534"
475,Georges Niang,"$650,000"
476,AJ Hammons,"$650,000"
477,Michael Gbinije,"$650,000"
478,Jake Layman,"$600,000"
479,Joel Bolomboy,"$600,000"
480,Donatas Motiejunas,"$576,724"
481,Marcus Paige,"$543,471"
482,Rasheed Sulaimon,"$543,471"
483,Andrew Andrews,"$543,471"
484,Vince Hunter,"$543,471"
485,Fred VanVleet,"$543,471"
486,Kay Felder,"$543,471"
487,Patrick McCaw,"$543,471"
488,Kyle Collinsworth,"$543,471"
489,Brady Heslip,"$543,471"
490,Yanick Moreira,"$543,471"
491,Kyle Wiltjer,"$543,471"
492,E.J. Singler,"$543,471"
493,Drew Crawford,"$543,471"
494,Davis Bertans,"$543,471"
495,Daniel Ochefu,"$543,471"
496,Ron Baker,"$543,471"
497,Isaiah Cousins,"$543,471"
498,Kaleb Tarczewski,"$543,471"
499,Semaj Christon,"$543,471"
500,Richard Solomon,"$543,471"
501,Matt Costello,"$543,471"
502,Bryn Forbes,"$543,471"
503,Nicolas Laprovittola,"$543,471"
504,Ryan Richards,"$543,471"
505,Brandon Paul,"$543,471"
506,Chinanu Onuaku,"$543,471"
507,Cheick Diallo,"$543,471"
508,Gracin Bakumanya,"$543,471"
509,Derek Cooke Jr.,"$543,471"
510,Anthony Barber,"$543,471"
511,J.P. Tokoto,"$543,471"
512,Maurice Ndour,"$543,471"
513,James Webb III,"$543,471"
514,Beau Beech,"$543,471"
515,Egidijus Mockevicius,"$543,471"
516,C.J. Williams,"$543,471"
517,Treveon Graham,"$543,471"
518,Marshall Plumlee,"$543,471"
519,Stefan Jankovic,"$543,471"
520,Derrick Jones Jr.,"$543,471"
521,Rodney McGruder,"$543,471"
522,Julian Jacobs,"$543,471"
523,Alex Caruso,"$543,471"
524,Zach Auguste,"$543,471"
525,Nick Zeisloft,"$543,471"
526,Danuel House Jr.,"$543,471"
527,Tim Quarterman,"$543,471"
528,Scott Wood,"$543,471"
529,Cameron Jones,"$543,471"
530,Elgin Cook,"$543,471"
531,Nikola Jovanovic,"$543,471"
532,Trey Freeman,"$543,471"
533,Keith Hornsby,"$543,471"
534,Ben Bentil,"$543,471"
535,Dorian Finney-Smith,"$543,471"
536,Jameel Warney,"$543,471"
537,Jalen Jones,"$543,471"
538,Ryan Arcidiacono,"$543,471"
539,Julyan Stone,"$543,471"
540,Thomas Walkup,"$543,471"
541,D'Vauntes Smith-Rivera,"$543,471"
542,Shaquille Harrison,"$543,471"
543,J.J. Avila,"$543,471"
544,Diamond Stone,"$543,471"
545,Quincy Ford,"$543,471"
546,Jonathan Holmes,"$543,471"
547,Nicolas Brussino,"$543,471"
548,Sheldon Mac,"$543,471"
549,Jonathan Gibson,"$469,943"
550,Toney Douglas,"$379,159"
551,Joel Anthony,"$346,034"
552,Ryan Kelly,"$286,785"
553,Ronnie Price,"$276,828"
554,Deron Williams,"$259,526"
555,Isaiah Taylor,"$255,000"
556,Norris Cole,"$247,991"
557,Jose Calderon,"$247,991"
558,Lamar Patterson,"$246,956"
559,Matt Barnes,"$242,224"
560,Andrew Bogut,"$242,224"
561,Okaro White,"$210,995"
562,Yogi Ferrell,"$207,798"
563,Larry Sanders,"$207,722"
564,Jordan Crawford,"$173,099"
565,Johnny O'Bryant III,"$161,483"
566,Chasson Randle,"$143,860"
567,Omri Casspi,"$138,414"
568,Briante Weber,"$128,623"
569,Ray McCallum,"$121,112"
570,Hollis Thompson,"$115,344"
571,Derrick Williams,"$115,344"
572,Manny Harris,"$115,344"
573,Shawn Long,"$89,513"
574,Wayne Selden,"$83,119"
575,Troy Williams,"$76,725"
576,Archie Goodwin,"$75,000"
577,David Nwaba,"$73,528"
578,Mike Tobey,"$67,135"
579,Justin Harper,"$57,672"
580,Anthony Brown,"$57,672"
581,Alonzo Gee,"$57,672"
582,Jarell Eddie,"$57,672"
583,Jarrett Jack,"$57,672"
584,Jarrod Uthoff,"$47,953"
585,Alex Poythress,"$35,166"
586,Gary Payton II,"$35,116"
587,Patricio Garino,"$31,969"
588,Pierre Jackson,"$31,969"
589,Marcus Georges-Hunt,"$31,969"
590,Elijah Millsap,"$23,069"
591,Quinn Cook,"$15,984"
592,Axel Toupane,"$15,435"
593,Dahntay Jones,"$5,767"
