,Players,Salaries
0,Stephen Curry,"$37,457,154"
1,Chris Paul,"$35,654,150"
2,LeBron James,"$35,654,150"
3,Russell Westbrook,"$35,654,150"
4,Blake Griffin,"$32,088,932"
5,Gordon Hayward,"$31,214,295"
6,Kyle Lowry,"$31,200,000"
7,Paul George,"$30,560,700"
8,Mike Conley,"$30,521,115"
9,James Harden,"$30,421,854"
10,Kevin Durant,"$30,000,000"
11,Paul Millsap,"$29,230,769"
12,Al Horford,"$28,928,709"
13,Damian Lillard,"$27,977,689"
14,DeMar DeRozan,"$27,739,975"
15,Otto Porter Jr.,"$26,011,913"
16,Jrue Holiday,"$25,976,111"
17,CJ McCollum,"$25,759,766"
18,Joel Embiid,"$25,467,250"
19,Andrew Wiggins,"$25,467,250"
20,Bradley Beal,"$25,434,263"
21,Anthony Davis,"$25,434,263"
22,Andre Drummond,"$25,434,263"
23,Hassan Whiteside,"$25,434,262"
24,Nikola Jokic,"$24,605,181"
25,Steven Adams,"$24,157,303"
26,Giannis Antetokounmpo,"$24,157,303"
27,Marc Gasol,"$24,119,025"
28,Kevin Love,"$24,119,025"
29,Harrison Barnes,"$24,107,258"
30,Chandler Parsons,"$24,107,258"
31,Nicolas Batum,"$24,000,000"
32,Rudy Gobert,"$23,241,573"
33,Kawhi Leonard,"$23,114,067"
34,DeAndre Jordan,"$22,897,200"
35,LaMarcus Aldridge,"$22,347,015"
36,Serge Ibaka,"$21,666,667"
37,Aaron Gordon,"$21,590,909"
38,Danilo Gallinari,"$21,587,579"
39,Victor Oladipo,"$21,000,000"
40,Jimmy Butler,"$20,445,779"
41,Ryan Anderson,"$20,421,546"
42,Kyrie Irving,"$20,099,189"
43,Jabari Parker,"$20,000,000"
44,Zach LaVine,"$19,500,000"
45,Tyler Johnson,"$19,356,932"
46,Tim Hardaway Jr.,"$19,200,127"
47,John Wall,"$19,169,800"
48,Jeff Teague,"$19,000,000"
49,George Hill,"$19,000,000"
50,Klay Thompson,"$18,988,725"
51,Allen Crabbe,"$18,500,000"
52,Goran Dragic,"$18,109,175"
53,Kent Bazemore,"$18,089,887"
54,Evan Turner,"$17,868,853"
55,Draymond Green,"$17,469,565"
56,Tristan Thompson,"$17,469,565"
57,Evan Fournier,"$17,150,000"
58,Reggie Jackson,"$17,043,478"
59,Bismack Biyombo,"$17,000,000"
60,Derrick Favors,"$16,900,000"
61,Jonas Valanciunas,"$16,539,326"
62,Gary Harris,"$16,517,857"
63,Andre Iguodala,"$16,000,000"
64,Timofey Mozgov,"$16,000,000"
65,Ian Mahinmi,"$15,944,154"
66,Dennis Schroder,"$15,500,000"
67,DeMarre Carroll,"$15,400,000"
68,Gorgui Dieng,"$15,170,787"
69,Trevor Ariza,"$15,000,000"
70,Eric Bledsoe,"$15,000,000"
71,Ricky Rubio,"$14,975,000"
72,Tobias Harris,"$14,800,000"
73,JR Smith,"$14,720,000"
74,Luke Babbitt,"$14,651,700"
75,James Johnson,"$14,651,700"
76,Brandon Knight,"$14,631,250"
77,Robin Lopez,"$14,357,750"
78,Marvin Williams,"$14,087,500"
79,Taj Gibson,"$14,000,000"
80,Thaddeus Young,"$13,964,045"
81,Clint Capela,"$13,793,104"
82,Marcin Gortat,"$13,565,218"
83,Cody Zeller,"$13,528,090"
84,Eric Gordon,"$13,500,375"
85,Joe Ingles,"$13,045,455"
86,Michael Kidd-Gilchrist,"$13,000,000"
87,Khris Middleton,"$13,000,000"
88,Mason Plumlee,"$12,917,808"
89,Wilson Chandler,"$12,800,562"
90,Nikola Vucevic,"$12,750,000"
91,Kelly Olynyk,"$12,537,527"
92,Miles Plumlee,"$12,500,000"
93,Nikola Mirotic,"$12,500,000"
94,Jordan Clarkson,"$12,500,000"
95,Tyreke Evans,"$12,400,000"
96,Courtney Lee,"$12,253,780"
97,Solomon Hill,"$12,252,928"
98,JJ Redick,"$12,250,000"
99,Kentavious Caldwell-Pope,"$12,000,000"
100,Avery Bradley,"$12,000,000"
101,Kemba Walker,"$12,000,000"
102,Will Barton,"$11,830,358"
103,T.J. Warren,"$11,750,000"
104,Zach Randolph,"$11,692,308"
105,Marcus Smart,"$11,660,716"
106,Patty Mills,"$11,571,429"
107,Dion Waiters,"$11,550,000"
108,Alec Burks,"$11,536,515"
109,John Henson,"$11,327,466"
110,Omer Asik,"$11,286,516"
111,Jusuf Nurkic,"$11,111,111"
112,Iman Shumpert,"$11,011,234"
113,Maurice Harkless,"$10,837,079"
114,Tony Snell,"$10,807,143"
115,Meyers Leonard,"$10,595,506"
116,Bojan Bogdanovic,"$10,500,000"
117,Terrence Ross,"$10,500,000"
