,Players,Salaries
0,Stephen Curry,"$37,457,154"
1,Blake Griffin,"$32,088,932"
2,Paul Millsap,"$31,269,231"
3,Kyle Lowry,"$31,200,000"
4,Gordon Hayward,"$29,727,900"
5,Mike Conley,"$28,530,608"
6,Russell Westbrook,"$28,530,608"
7,James Harden,"$28,299,399"
8,DeMar DeRozan,"$27,739,975"
9,Al Horford,"$27,734,406"
10,Carmelo Anthony,"$26,243,760"
11,Damian Lillard,"$26,153,057"
12,Otto Porter Jr.,"$26,011,913"
13,Jrue Holiday,"$25,686,667"
14,Bradley Beal,"$25,434,263"
15,Andre Drummond,"$25,434,263"
16,Hassan Whiteside,"$25,434,262"
17,Joel Embiid,"$25,250,000"
18,Chris Paul,"$24,599,495"
19,Giannis Antetokounmpo,"$24,157,303"
20,Kevin Love,"$24,119,025"
21,Nicolas Batum,"$24,000,000"
22,CJ McCollum,"$23,962,573"
23,Dwight Howard,"$23,819,725"
24,Anthony Davis,"$23,775,506"
25,Harrison Barnes,"$23,112,004"
26,Chandler Parsons,"$23,112,004"
27,Brook Lopez,"$22,642,650"
28,Marc Gasol,"$22,642,350"
29,DeAndre Jordan,"$22,642,350"
30,Steven Adams,"$22,471,910"
31,Rudy Gobert,"$21,924,719"
32,Serge Ibaka,"$21,666,667"
33,LaMarcus Aldridge,"$21,461,010"
34,Victor Oladipo,"$21,000,000"
35,Danilo Gallinari,"$20,559,599"
36,Ryan Anderson,"$19,578,455"
37,Paul George,"$19,508,958"
38,Jimmy Butler,"$19,301,070"
39,Tyler Johnson,"$19,245,370"
40,John Wall,"$19,169,800"
41,Jeff Teague,"$19,000,000"
42,George Hill,"$19,000,000"
43,Kyrie Irving,"$18,868,626"
44,Kawhi Leonard,"$18,868,626"
45,Enes Kanter,"$18,622,514"
46,Joakim Noah,"$18,530,000"
47,Allen Crabbe,"$18,500,000"
48,Goran Dragic,"$18,109,175"
49,Kent Bazemore,"$18,089,887"
50,DeMarcus Cousins,"$18,063,850"
51,Wesley Matthews,"$17,884,176"
52,Klay Thompson,"$17,826,150"
53,Kentavious Caldwell-Pope,"$17,745,894"
54,Draymond Green,"$17,469,565"
55,Tristan Thompson,"$17,469,565"
56,Tim Hardaway Jr.,"$17,325,000"
57,Luol Deng,"$17,190,000"
58,Evan Turner,"$17,131,148"
59,Reggie Jackson,"$17,043,478"
60,Bismack Biyombo,"$17,000,000"
61,Evan Fournier,"$17,000,000"
62,Jonas Valanciunas,"$16,539,326"
63,Pau Gasol,"$16,000,000"
64,Tobias Harris,"$16,000,000"
65,Timofey Mozgov,"$16,000,000"
66,Ian Mahinmi,"$15,944,154"
67,Dennis Schroder,"$15,500,000"
68,Tony Parker,"$15,453,126"
69,DeMarre Carroll,"$15,400,000"
70,Eric Bledsoe,"$15,000,000"
71,Andre Iguodala,"$14,814,815"
72,JR Smith,"$14,720,000"
73,James Johnson,"$14,651,700"
74,Robin Lopez,"$14,357,750"
75,Ricky Rubio,"$14,275,000"
76,Joe Ingles,"$14,136,364"
77,Gorgui Dieng,"$14,112,360"
78,Marvin Williams,"$14,087,500"
79,Mason Plumlee,"$14,041,096"
80,Taj Gibson,"$14,000,000"
81,Thaddeus Young,"$13,964,045"
82,Brandon Knight,"$13,618,750"
83,Cody Zeller,"$13,528,090"
84,Michael Kidd-Gilchrist,"$13,000,000"
85,Tyson Chandler,"$13,000,000"
86,Eric Gordon,"$12,943,020"
87,Kenneth Faried,"$12,921,348"
88,Marcin Gortat,"$12,782,609"
89,Nikola Vucevic,"$12,750,000"
90,Austin Rivers,"$12,650,000"
91,Kelly Olynyk,"$12,537,527"
92,Jeremy Lin,"$12,516,746"
93,Miles Plumlee,"$12,500,000"
94,Nikola Mirotic,"$12,500,000"
95,Jordan Clarkson,"$12,500,000"
96,Zach Randolph,"$12,307,692"
97,Courtney Lee,"$12,253,780"
98,Solomon Hill,"$12,236,535"
99,Nikola Pekovic,"$12,100,000"
