,Players,Salaries
100,Wilson Chandler,"$12,016,854"
101,Derrick Favors,"$12,000,000"
102,Kemba Walker,"$12,000,000"
103,Dion Waiters,"$11,550,000"
104,John Henson,"$11,327,466"
105,Omer Asik,"$11,286,516"
106,Monta Ellis,"$11,227,000"
107,Alec Burks,"$10,845,506"
108,Patty Mills,"$10,714,286"
109,Tony Snell,"$10,607,143"
110,Bojan Bogdanovic,"$10,500,000"
111,Terrence Ross,"$10,500,000"
112,Mirza Teletovic,"$10,500,000"
113,Robert Covington,"$10,464,092"
114,Iman Shumpert,"$10,337,079"
115,Maurice Harkless,"$10,162,922"
116,Jon Leuer,"$10,002,681"
117,Jared Dudley,"$10,000,000"
118,Danny Green,"$10,000,000"
119,Darren Collison,"$10,000,000"
120,Al Jefferson,"$10,000,000"
121,Meyers Leonard,"$9,904,495"
122,Matthew Dellavedova,"$9,607,500"
123,Bogdan Bogdanovic,"$9,412,280"
124,Norman Powell,"$9,367,200"
125,Josh Richardson,"$9,367,200"
126,Andre Roberson,"$9,259,260"
127,Dwight Powell,"$9,003,125"
128,Gerald Henderson,"$9,000,000"
129,Avery Bradley,"$8,808,989"
130,Markieff Morris,"$8,600,000"
131,Jerryd Bayless,"$8,575,916"
132,JaMychal Green,"$8,533,333"
133,Cristiano Felicio,"$8,470,980"
134,E'Twaun Moore,"$8,445,024"
135,Rudy Gay,"$8,406,000"
136,Kosta Koufos,"$8,393,000"
137,Markelle Fultz,"$8,339,880"
138,Garrett Temple,"$8,000,000"
139,Kevin Garnett,"$8,000,000"
140,Yi Jianlian,"$8,000,000"
141,Vince Carter,"$8,000,000"
142,Cory Joseph,"$7,945,000"
143,CJ Miles,"$7,936,509"
144,Shaun Livingston,"$7,692,308"
145,P.J. Tucker,"$7,590,035"
146,Corey Brewer,"$7,579,366"
147,Andrew Wiggins,"$7,574,323"
148,Kyle Korver,"$7,560,000"
149,Boris Diaw,"$7,500,000"
150,Jeremy Lamb,"$7,488,372"
151,Darrell Arthur,"$7,464,912"
152,Trevor Ariza,"$7,420,912"
153,Channing Frye,"$7,420,912"
154,Festus Ezeli,"$7,400,000"
155,Al-Farouq Aminu,"$7,319,035"
156,Cole Aldrich,"$7,300,000"
157,D.J. Augustin,"$7,250,000"
158,Dewayne Dedmon,"$7,200,000"
159,Lance Thomas,"$7,119,650"
160,D'Angelo Russell,"$7,019,698"
161,Lou Williams,"$7,000,000"
162,Rodney Stuckey,"$7,000,000"
163,Langston Galloway,"$7,000,000"
164,Boban Marjanovic,"$7,000,000"
165,Jae Crowder,"$6,796,117"
166,Carl Landry,"$6,500,000"
167,Ben Simmons,"$6,434,520"
168,Tim Duncan,"$6,393,750"
169,Andrew Nicholson,"$6,362,998"
170,Ed Davis,"$6,352,531"
171,Lonzo Ball,"$6,286,560"
172,Isaiah Thomas,"$6,261,395"
173,Karl-Anthony Towns,"$6,216,840"
174,Spencer Hawes,"$6,061,175"
175,Josh McRoberts,"$6,021,175"
176,Shelvin Mack,"$6,000,000"
177,Jonathon Simmons,"$6,000,000"
178,Ish Smith,"$6,000,000"
179,Alan Williams,"$6,000,000"
180,Milos Teodosic,"$6,000,000"
181,Wesley Johnson,"$5,882,260"
182,Alex Abrines,"$5,725,000"
183,Kristaps Porzingis,"$5,697,054"
184,Jayson Tatum,"$5,645,400"
185,Jared Sullinger,"$5,628,000"
186,Brandon Ingram,"$5,519,400"
187,Patrick Beverley,"$5,513,514"
188,Thabo Sefolosha,"$5,500,000"
189,Luis Scola,"$5,500,000"
190,Jason Smith,"$5,450,000"
191,Ben McLemore,"$5,200,000"
192,Patrick Patterson,"$5,192,000"
193,Nick Young,"$5,192,000"
194,Josh Jackson,"$5,090,040"
195,Mike Muscala,"$5,000,000"
196,C.J. Watson,"$5,000,000"
197,Marcus Morris,"$5,000,000"
198,Dirk Nowitzki,"$5,000,000"
199,Dante Exum,"$4,992,385"
200,Jonathan Isaac,"$4,969,080"
201,Alexis Ajinca,"$4,961,798"
202,Jaylen Brown,"$4,956,480"
203,Mike Dunleavy,"$4,837,500"
204,Kyle Singler,"$4,666,500"
205,De'Aaron Fox,"$4,609,200"
206,Ron Baker,"$4,544,000"
207,Lauri Markkanen,"$4,536,120"
208,Dragan Bender,"$4,468,800"
209,Devin Harris,"$4,402,546"
210,Justin Holiday,"$4,384,616"
211,Greivis Vasquez,"$4,347,826"
212,Jamal Crawford,"$4,328,000"
213,Emmanuel Mudiay,"$4,294,480"
214,Kris Dunn,"$4,221,000"
215,Nerlens Noel,"$4,187,599"
216,Alex Len,"$4,187,599"
217,Frank Ntilikina,"$4,155,720"
218,Julius Randle,"$4,149,242"
219,Leandro Barbosa,"$4,000,000"
220,Jordan Hill,"$4,000,000"
221,Jonas Jerebko,"$4,000,000"
222,Nemanja Bjelica,"$3,949,999"
223,Stanley Johnson,"$3,940,402"
224,J.J. Barea,"$3,903,900"
225,Quincy Pondexter,"$3,853,931"
226,Willie Cauley-Stein,"$3,704,160"
227,Buddy Hield,"$3,675,480"
228,Frank Kaminsky,"$3,627,842"
229,Drew Gooden,"$3,547,000"
230,Will Barton,"$3,533,333"
231,Paul Pierce,"$3,527,920"
232,Mike Miller,"$3,500,000"
233,Nene Hilario,"$3,477,600"
234,Zaza Pachulia,"$3,477,600"
235,Jodie Meeks,"$3,454,500"
236,Justise Winslow,"$3,448,926"
237,Malik Monk,"$3,447,480"
238,Myles Turner,"$3,410,284"
239,Troy Daniels,"$3,408,520"
240,Jamal Murray,"$3,355,320"
241,Elfrid Payton,"$3,332,340"
242,Rajon Rondo,"$3,300,000"
243,Doug McDermott,"$3,294,994"
244,Anthony Tolliver,"$3,290,000"
245,Tyreke Evans,"$3,290,000"
246,Tarik Black,"$3,290,000"
247,Luke Kennard,"$3,275,280"
248,Cameron Payne,"$3,263,294"
249,Dennis Smith Jr.,"$3,218,280"
250,Kelly Oubre Jr.,"$3,208,630"
251,Ekpe Udoh,"$3,200,000"
252,T.J. Warren,"$3,152,931"
253,Marquese Chriss,"$3,073,800"
254,Zach Collins,"$3,057,240"
255,Seth Curry,"$3,028,410"
256,Mindaugas Kuzminskas,"$3,025,035"
257,Justin Hamilton,"$3,000,000"
258,Tibor Pleiss,"$3,000,000"
259,Tomas Satoransky,"$3,000,000"
260,Bam Adebayo,"$2,955,840"
261,Jakob Poeltl,"$2,947,320"
262,Jusuf Nurkic,"$2,947,305"
263,Thon Maker,"$2,799,720"
264,Cedi Osman,"$2,775,000"
265,Domantas Sabonis,"$2,659,800"
266,Jerian Grant,"$2,639,314"
267,Donovan Mitchell,"$2,621,280"
268,Gary Harris,"$2,550,055"
269,Delon Wright,"$2,536,898"
270,D.J. Wilson,"$2,534,280"
271,Dario Saric,"$2,526,840"
272,Taurean Prince,"$2,526,840"
273,Justin Anderson,"$2,516,048"
274,Manu Ginobili,"$2,500,000"
275,Reggie Bullock,"$2,500,000"
276,Bobby Portis,"$2,494,346"
277,Rondae Hollis-Jefferson,"$2,470,357"
278,Bruno Caboclo,"$2,451,225"
279,Kendrick Perkins,"$2,445,085"
280,Trey Lyles,"$2,441,400"
281,T.J. Leaf,"$2,407,560"
282,Justin Jackson,"$2,365,560"
283,Shabazz Napier,"$2,361,360"
284,Clint Capela,"$2,334,528"
285,Devin Booker,"$2,319,360"
286,John Collins,"$2,299,080"
287,Denzel Valentine,"$2,280,600"
288,Larry Nance Jr.,"$2,272,391"
289,Justin Patton,"$2,247,480"
290,Guerschon Yabusele,"$2,247,480"
291,Brandon Jennings,"$2,222,803"
292,Mo Williams,"$2,194,500"
293,Kyle Anderson,"$2,151,704"
294,Darius Miller,"$2,100,000"
295,Juan Hernangomez,"$2,076,840"
296,Sean Kilpatrick,"$2,054,856"
297,Kendall Marshall,"$2,048,257"
298,OG Anunoby,"$2,034,120"
299,Jarrett Allen,"$2,034,120"
300,Terry Rozier,"$1,988,520"
301,Kevin Seraphin,"$1,974,159"
302,Ante Zizic,"$1,952,760"
303,Tyler Zeller,"$1,933,941"
304,Rashad Vaughn,"$1,889,040"
305,Harry Giles III,"$1,859,400"
306,Henry Ellenson,"$1,857,480"
307,Eric Moreland,"$1,826,300"
308,Sam Dekker,"$1,794,600"
309,Terrance Ferguson,"$1,785,000"
310,Furkan Korkmaz,"$1,740,000"
311,Caris LeVert,"$1,702,800"
312,Malik Beasley,"$1,700,640"
313,Spencer Dinwiddie,"$1,656,092"
314,Julyan Stone,"$1,656,092"
315,DeAndre' Bembry,"$1,634,640"
316,Richaun Holmes,"$1,600,520"
317,T.J. McConnell,"$1,600,520"
318,Dwight Buycks,"$1,600,520"
319,Tyler Lydon,"$1,579,440"
320,Archie Goodwin,"$1,577,230"
321,Ryan Kelly,"$1,577,230"
322,Jeff Withey,"$1,577,230"
323,Malachi Richardson,"$1,569,360"
324,Caron Butler,"$1,551,659"
325,Willy Hernangomez,"$1,544,951"
326,Pascal Siakam,"$1,544,951"
327,Okaro White,"$1,544,951"
328,Troy Williams,"$1,544,951"
329,Trey Burke,"$1,544,951"
330,Rodney McGruder,"$1,544,951"
331,Quinn Cook,"$1,544,951"
332,Malcolm Brogdon,"$1,544,951"
333,Isaiah Taylor,"$1,544,951"
334,Mitch McGary,"$1,526,040"
335,Joffrey Lauvergne,"$1,524,305"
336,Elijah Millsap,"$1,524,305"
337,Johnny O'Bryant III,"$1,524,305"
338,Tyler Ennis,"$1,524,305"
339,Jerami Grant,"$1,524,305"
340,Marcelo Huertas,"$1,500,000"
341,Omri Casspi,"$1,471,382"
342,Tyus Jones,"$1,471,382"
343,Mario Chalmers,"$1,471,382"
344,Nick Collison,"$1,471,382"
345,KJ McDaniels,"$1,471,382"
346,Raymond Felton,"$1,471,382"
347,Josh Huestis,"$1,471,382"
348,Anthony Morrow,"$1,471,382"
349,Raul Neto,"$1,471,382"
350,Kris Humphries,"$1,471,382"
351,Damjan Rudez,"$1,471,382"
352,Jarell Martin,"$1,471,382"
353,Aaron Brooks,"$1,471,382"
354,Pat Connaughton,"$1,471,382"
355,Joel Anthony,"$1,471,382"
356,JaVale McGee,"$1,471,382"
357,Montrezl Harrell,"$1,471,382"
358,Luc Mbah a Moute,"$1,471,382"
359,Damien Wilkins,"$1,471,382"
360,Rakeem Christmas,"$1,471,382"
361,Andrew Bogut,"$1,471,382"
362,David West,"$1,471,382"
363,Kevon Looney,"$1,471,382"
364,Beno Udrih,"$1,471,382"
365,Chris McCullough,"$1,471,382"
366,Josh Childress,"$1,471,382"
367,Nikola Jokic,"$1,471,382"
368,Donald Sloan,"$1,471,382"
369,Maalik Wayns,"$1,471,382"
370,Salah Mejri,"$1,471,382"
371,Willie Reed,"$1,471,382"
372,Tony Allen,"$1,471,382"
373,Perry Jones,"$1,471,382"
374,Ian Clark,"$1,471,382"
375,Axel Toupane,"$1,471,382"
376,Jeremy Evans,"$1,471,382"
377,Caleb Swanigan,"$1,465,920"
378,Jordan Adams,"$1,465,080"
379,Richard Jefferson,"$1,454,756"
380,Kyle Kuzma,"$1,423,560"
381,Tony Bradley,"$1,414,920"
382,Derrick White,"$1,404,600"
383,Josh Hart,"$1,394,520"
384,Timothe Luwawu-Cabarrot,"$1,386,600"
385,Josh Smith,"$1,379,940"
386,Dwayne Bacon,"$1,378,242"
387,Tyler Dorsey,"$1,378,242"
388,Khem Birch,"$1,378,242"
389,Wes Iwundu,"$1,378,242"
390,Damyean Dotson,"$1,378,242"
391,Jordan Bell,"$1,378,242"
392,Jaylen Morris,"$1,378,242"
393,Sterling Brown,"$1,378,242"
394,Rodney Purvis,"$1,378,242"
395,Ike Anigbogu,"$1,378,242"
396,Alfonzo McKinnie,"$1,378,242"
397,Antonius Cleveland,"$1,378,242"
398,Alex Poythress,"$1,378,242"
399,Guillermo Hernangomez,"$1,350,000"
400,Sasha Kaun,"$1,333,240"
401,Brice Johnson,"$1,331,160"
402,Patrick McCaw,"$1,312,611"
403,Kyle Wiltjer,"$1,312,611"
404,Daniel Ochefu,"$1,312,611"
405,Davis Bertans,"$1,312,611"
406,Carrick Felix,"$1,312,611"
407,Chasson Randle,"$1,312,611"
408,Semaj Christon,"$1,312,611"
409,Bryn Forbes,"$1,312,611"
410,Dejounte Murray,"$1,312,611"
411,Yogi Ferrell,"$1,312,611"
412,Chinanu Onuaku,"$1,312,611"
413,Skal Labissiere,"$1,312,611"
414,Cheick Diallo,"$1,312,611"
415,Patricio Garino,"$1,312,611"
416,Jake Layman,"$1,312,611"
417,AJ Hammons,"$1,312,611"
418,Stephen Zimmerman,"$1,312,611"
419,Ivica Zubac,"$1,312,611"
420,DeQuan Jones,"$1,312,611"
421,Jarrod Uthoff,"$1,312,611"
422,Deyonta Davis,"$1,312,611"
423,Shawn Long,"$1,312,611"
424,Michael Gbinije,"$1,312,611"
425,Isaiah Whitehead,"$1,312,611"
426,Kalin Lucas,"$1,312,611"
427,Dorian Finney-Smith,"$1,312,611"
428,Edy Tavares,"$1,312,611"
429,Tyler Ulis,"$1,312,611"
430,Wayne Selden,"$1,312,611"
431,Diamond Stone,"$1,312,611"
432,Paul Zipser,"$1,312,611"
433,Andrew Harrison,"$1,312,611"
434,Marcus Georges-Hunt,"$1,312,611"
435,Nicolas Brussino,"$1,312,611"
436,Sheldon Mac,"$1,312,611"
437,Damian Jones,"$1,312,611"
438,Khris Middleton,"$1,300,000"
439,Semi Ojeleye,"$1,291,892"
440,Livio Jean-Charles,"$1,188,840"
441,Frank Mason III,"$1,184,385"
442,Abdel Nader,"$1,167,333"
443,Tony Wroten,"$1,050,961"
444,John Jenkins,"$1,050,961"
445,Chris Johnson,"$1,050,961"
446,Anthony Bennett,"$1,015,696"
447,Andrew Goudelock,"$1,015,696"
448,Isaiah Canaan,"$997,547"
449,Jarnell Stokes,"$980,431"
450,Henry Sims,"$980,431"
451,Chris Wright,"$980,431"
452,Jordan Farmar,"$980,431"
453,Greg Stiemsma,"$980,431"
454,Cory Jefferson,"$980,431"
455,Elton Brand,"$980,431"
456,Arinze Onuaku,"$980,431"
457,Devyn Marble,"$980,431"
458,Lou Amundson,"$980,431"
459,Marcus Thornton,"$980,431"
460,Jorge Gutierrez,"$980,431"
461,Rasual Butler,"$980,431"
462,Toure' Murry,"$980,431"
463,John Lucas III,"$980,431"
464,Orlando Johnson,"$980,431"
465,Xavier Henry,"$980,431"
466,Steve Novak,"$980,431"
467,Dorell Wright,"$980,431"
468,Shayne Whittington,"$980,431"
469,Pablo Prigioni,"$980,431"
470,Terrence Jones,"$980,431"
471,Anderson Varejao,"$980,431"
472,Elliot Williams,"$980,431"
473,Phil Pressey,"$980,431"
474,Cameron Bairstow,"$980,431"
475,Robbie Hummel,"$980,431"
476,Chris Andersen,"$980,431"
477,Robert Sacre,"$980,431"
478,Will Bynum,"$980,431"
479,Rade Zagorac,"$950,000"
480,Ivan Rabb,"$950,000"
481,Reggie Williams,"$895,197"
482,D.J. Kennedy,"$874,636"
483,DJ Stephens,"$874,636"
484,Casper Ware,"$874,636"
485,Jordan McRae,"$874,636"
486,Nick Johnson,"$874,636"
487,Duje Dukan,"$874,636"
488,Grant Jerrett,"$874,636"
489,Kevin Murphy,"$874,636"
490,Branden Dawson,"$874,636"
491,J.J. O'Brien,"$874,636"
492,Keith Benson,"$874,636"
493,Christian Wood,"$874,636"
494,Cliff Alexander,"$874,636"
495,Gerald Green,"$872,854"
496,T.J. Williams,"$815,615"
497,Terry Henderson,"$815,615"
498,Luke Petrasek,"$815,615"
499,Dillon Brooks,"$815,615"
500,Dakari Johnson,"$815,615"
501,Xavier Rathan-Mayes,"$815,615"
502,Kennedy Meeks,"$815,615"
503,Thomas Bryant,"$815,615"
504,Naz Mitrou-Long,"$815,615"
505,Erik McCree,"$815,615"
506,Royce O'Neale,"$815,615"
507,Bryce Alford,"$815,615"
508,Rashawn Thomas,"$815,615"
509,Brandon Paul,"$815,615"
510,Matt Jones,"$815,615"
511,Cameron Oliver,"$815,615"
512,Jawun Evans,"$815,615"
513,Peter Jok,"$815,615"
514,James Blackmon Jr.,"$815,615"
515,Troy Caupain,"$815,615"
516,Isaiah Briscoe,"$815,615"
517,Melo Trimble,"$815,615"
518,JeQuan Lewis,"$815,615"
519,V.J. Beachem,"$815,615"
520,LaDontae Henton,"$815,615"
521,Sindarius Thornwell,"$815,615"
522,Davon Reed,"$815,615"
523,Zhou Qi,"$815,615"
524,Alex Hamilton,"$815,615"
525,Brandon Ashley,"$815,615"
526,Maxi Kleber,"$815,615"
527,Jaylen Johnson,"$815,615"
528,Frank Jackson,"$815,615"
529,L.J. Peak,"$815,615"
530,Daniel Theis,"$815,615"
531,Jordan Mathews,"$815,615"
532,Tyler Cavanaugh,"$679,919"
533,Emeka Okafor,"$592,030"
534,DeAndre Liggins,"$588,120"
535,Rasheed Sulaimon,"$543,471"
536,Andrew Andrews,"$543,471"
537,E.J. Singler,"$543,471"
538,Drew Crawford,"$543,471"
539,Brady Heslip,"$543,471"
540,Yanick Moreira,"$543,471"
541,Isaiah Cousins,"$543,471"
542,Richard Solomon,"$543,471"
543,Kaleb Tarczewski,"$543,471"
544,Ryan Richards,"$543,471"
545,Nicolas Laprovittola,"$543,471"
546,Gracin Bakumanya,"$543,471"
547,Derek Cooke Jr.,"$543,471"
548,Anthony Barber,"$543,471"
549,Maurice Ndour,"$543,471"
550,J.P. Tokoto,"$543,471"
551,Beau Beech,"$543,471"
552,Egidijus Mockevicius,"$543,471"
553,Stefan Jankovic,"$543,471"
554,Julian Jacobs,"$543,471"
555,Zach Auguste,"$543,471"
556,Nick Zeisloft,"$543,471"
557,Scott Wood,"$543,471"
558,Cameron Jones,"$543,471"
559,Elgin Cook,"$543,471"
560,Nikola Jovanovic,"$543,471"
561,Trey Freeman,"$543,471"
562,Keith Hornsby,"$543,471"
563,Ben Bentil,"$543,471"
564,Jameel Warney,"$543,471"
565,Thomas Walkup,"$543,471"
566,D'Vauntes Smith-Rivera,"$543,471"
567,J.J. Avila,"$543,471"
568,Quincy Ford,"$543,471"
569,Jonathan Holmes,"$543,471"
570,Brandan Wright,"$490,461"
571,Joe Johnson,"$473,835"
572,Toney Douglas,"$379,159"
573,C.J. Williams,"$375,000"
574,Derrick Rose,"$290,951"
575,Lamar Patterson,"$246,956"
576,Wade Baldwin IV,"$229,892"
577,Larry Sanders,"$207,722"
578,Georgios Papagiannis,"$185,397"
579,Shaquille Harrison,"$175,000"
580,Travis Wear,"$148,318"
581,Ray McCallum,"$121,112"
582,Manny Harris,"$115,344"
583,Tim Quarterman,"$96,406"
584,Aaron Harrison,"$91,442"
585,Marquis Teague,"$74,186"
586,Mike Tobey,"$67,135"
587,MarShon Brooks,"$60,283"
588,Jordan Crawford,"$58,190"
589,Justin Harper,"$57,672"
590,Alonzo Gee,"$57,672"
591,Nigel Hayes,"$55,296"
592,David Stockton,"$44,495"
593,Jonathan Gibson,"$44,495"
594,Pierre Jackson,"$31,969"
595,Andre Ingram,"$13,824"
596,Amile Jefferson,"$4,608"
597,Aaron Jackson,"$4,608"
