,Players,Salaries
0,Kobe Bryant,"$23,500,000"
1,Joe Johnson,"$23,180,790"
2,Carmelo Anthony,"$22,458,401"
3,Dwight Howard,"$21,436,271"
4,Chris Bosh,"$20,644,400"
5,LeBron James,"$20,644,400"
6,Chris Paul,"$20,068,563"
7,Deron Williams,"$19,754,465"
8,Rudy Gay,"$19,317,326"
9,Kevin Durant,"$18,995,624"
10,Derrick Rose,"$18,862,876"
11,Blake Griffin,"$17,674,613"
12,Zach Randolph,"$16,500,000"
13,LaMarcus Aldridge,"$16,006,000"
14,Paul George,"$15,937,290"
15,Marc Gasol,"$15,829,688"
16,Kevin Love,"$15,719,063"
17,Brook Lopez,"$15,719,062"
18,Russell Westbrook,"$15,719,062"
19,David Lee,"$15,012,000"
20,Dwyane Wade,"$15,000,000"
21,Eric Gordon,"$14,898,938"
22,Roy Hibbert,"$14,898,938"
23,Tyson Chandler,"$14,846,888"
24,John Wall,"$14,746,000"
25,DeMarcus Cousins,"$14,746,000"
26,Gordon Hayward,"$14,746,000"
27,James Harden,"$14,728,844"
28,Chandler Parsons,"$14,700,000"
29,Al Jefferson,"$13,500,000"
30,Eric Bledsoe,"$13,000,000"
31,Nene Hilario,"$13,000,000"
32,Andrew Bogut,"$12,972,973"
33,Derrick Favors,"$12,950,000"
34,Rajon Rondo,"$12,909,090"
35,Joakim Noah,"$12,700,000"
36,Tony Parker,"$12,500,000"
37,Serge Ibaka,"$12,350,000"
38,Andre Iguodala,"$12,289,544"
39,Nikola Pekovic,"$12,100,000"
40,Kyle Lowry,"$12,000,000"
41,Al Horford,"$12,000,000"
42,Kevin Garnett,"$12,000,000"
43,David West,"$12,000,000"
44,Nicolas Batum,"$11,765,500"
45,Ty Lawson,"$11,595,506"
46,Andrea Bargnani,"$11,500,000"
47,DeAndre Jordan,"$11,440,123"
48,Tyreke Evans,"$11,265,416"
49,JaVale McGee,"$11,250,000"
50,Larry Sanders,"$11,000,000"
51,Danilo Gallinari,"$10,854,850"
52,Stephen Curry,"$10,629,213"
53,Marcin Gortat,"$10,434,782"
54,Tim Duncan,"$10,361,446"
55,Gerald Wallace,"$10,105,855"
56,DeMar DeRozan,"$10,100,000"
57,Jrue Holiday,"$9,904,495"
58,Luol Deng,"$9,714,461"
59,Anderson Varejao,"$9,704,545"
60,Steve Nash,"$9,701,000"
